participant_id	ethRT_q1	ethRT_q2	ethRT_q3	ethRT_q4	ethRT_q5	ethRT_q6	finRT_q1	finRT_q2	finRT_q3	finRT_q4	finRT_q5	finRT_q6	heaRT_q1	heaRT_q2	heaRT_q3	heaRT_q4	heaRT_q5	heaRT_q6	recRT_q1	recRT_q2	recRT_q3	recRT_q4	recRT_q5	recRT_q6	socRT_q1	socRT_q2	socRT_q3	socRT_q4	socRT_q5	socRT_q6
sub-001	5.000000	3.000000	3.000000	3.000000	1.000000	1.000000	1.000000	6.000000	1.000000	5.000000	1.000000	6.000000	3.000000	3.000000	2.000000	1.000000	1.000000	1.000000	5.000000	2.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	6.000000	4.000000	1.000000	5.000000
sub-002	2.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	3.000000	1.000000	1.000000	2.000000	1.000000	5.000000	1.000000	2.000000	1.000000	1.000000	1.000000	7.000000	6.000000	7.000000	7.000000	6.000000	7.000000
sub-003	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	4.000000	7.000000	3.000000	3.000000	7.000000
sub-004	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	7.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	2.000000	5.000000	6.000000	1.000000	6.000000	7.000000	7.000000	7.000000	7.000000	7.000000	7.000000
sub-005	2.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	6.000000	1.000000	3.000000	2.000000	3.000000	3.000000	1.000000	1.000000	3.000000	5.000000	5.000000	6.000000	1.000000	5.000000	2.000000	1.000000	1.000000	7.000000	6.000000	6.000000	7.000000	7.000000	7.000000
sub-006	5.000000	6.000000	5.000000	5.000000	1.000000	7.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	6.000000	1.000000	1.000000	1.000000	2.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	6.000000	6.000000	6.000000	6.000000	6.000000
sub-007	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	5.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	5.000000	5.000000	5.000000	6.000000	5.000000	5.000000	5.000000
sub-008	1.000000	4.000000	1.000000	1.000000	1.000000	4.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	6.000000	6.000000	2.000000	1.000000	5.000000	2.000000	5.000000	3.000000	3.000000	5.000000	3.000000	1.000000	6.000000	4.000000	5.000000	6.000000	7.000000	5.000000
sub-009	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	5.000000	1.000000	4.000000	1.000000	5.000000	1.000000	2.000000	5.000000	1.000000	7.000000	3.000000	6.000000	1.000000	5.000000	6.000000	5.000000	2.000000	7.000000	6.000000	7.000000	6.000000	7.000000	6.000000
sub-010	4.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
sub-011	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	5.000000	5.000000	1.000000	1.000000	1.000000	1.000000	3.000000	4.000000	1.000000	1.000000	3.000000	1.000000	6.000000	6.000000	6.000000	5.000000	1.000000	7.000000	7.000000	7.000000	7.000000	7.000000	7.000000	7.000000
sub-012	1.000000	1.000000	1.000000	1.000000	7.000000	3.000000	1.000000	3.000000	1.000000	1.000000	1.000000	2.000000	2.000000	1.000000	1.000000	1.000000	5.000000	1.000000	6.000000	1.000000	5.000000	6.000000	5.000000	1.000000	5.000000	5.000000	6.000000	6.000000	7.000000	2.000000
sub-013	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	3.000000	1.000000	4.000000	1.000000	3.000000	1.000000	4.000000	2.000000	1.000000	4.000000	1.000000	1.000000	1.000000	1.000000	2.000000	7.000000	6.000000	5.000000	4.000000	6.000000	6.000000
sub-014	6.000000	1.000000	4.000000	2.000000	4.000000	6.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	3.000000	2.000000	7.000000	5.000000	1.000000	3.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	6.000000	5.000000	1.000000	7.000000	6.000000
sub-015	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	4.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	4.000000	5.000000	3.000000	3.000000	4.000000
sub-016	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	3.000000	1.000000	2.000000	1.000000	3.000000	1.000000	1.000000	1.000000	1.000000	7.000000	1.000000	1.000000	3.000000	1.000000	5.000000	6.000000	2.000000	5.000000	2.000000	7.000000	7.000000
sub-017	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	4.000000	1.000000	3.000000	1.000000	4.000000	1.000000	3.000000	1.000000	1.000000	4.000000	3.000000	7.000000	1.000000	4.000000	1.000000	1.000000	1.000000	6.000000	4.000000	6.000000	4.000000	5.000000	6.000000
sub-018	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	5.000000	6.000000	5.000000	1.000000	1.000000
sub-019	5.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	5.000000	1.000000	3.000000	1.000000	2.000000	5.000000	1.000000	1.000000	1.000000	3.000000	1.000000	4.000000	3.000000	2.000000	5.000000	3.000000	3.000000	4.000000	4.000000	3.000000	5.000000	5.000000	5.000000
sub-020	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	2.000000	1.000000	6.000000	1.000000	1.000000	2.000000	1.000000	2.000000	7.000000	6.000000	6.000000	6.000000	7.000000	6.000000
sub-021	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	2.000000	5.000000	3.000000	5.000000	4.000000	6.000000	1.000000	1.000000	1.000000	1.000000	2.000000	3.000000	5.000000	1.000000	6.000000	5.000000	3.000000	7.000000	5.000000	5.000000	6.000000	5.000000	3.000000	6.000000
sub-022	5.000000	6.000000	7.000000	6.000000	5.000000	6.000000	5.000000	6.000000	5.000000	6.000000	5.000000	6.000000	5.000000	6.000000	6.000000	5.000000	6.000000	6.000000	5.000000	6.000000	7.000000	6.000000	6.000000	5.000000	5.000000	6.000000	6.000000	5.000000	6.000000	6.000000
sub-023	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	6.000000	4.000000	5.000000	4.000000	2.000000
sub-024	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	3.000000	1.000000	7.000000	7.000000	1.000000	4.000000
sub-025	4.000000	4.000000	1.000000	1.000000	1.000000	4.000000	1.000000	5.000000	1.000000	2.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
sub-026	3.000000	3.000000	2.000000	2.000000	3.000000	4.000000	4.000000	3.000000	2.000000	2.000000	2.000000	3.000000	3.000000	2.000000	3.000000	3.000000	2.000000	2.000000	3.000000	3.000000	3.000000	2.000000	2.000000	4.000000	5.000000	5.000000	4.000000	4.000000	3.000000	3.000000
sub-027	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	4.000000	7.000000	1.000000	1.000000	3.000000	1.000000	6.000000	4.000000	5.000000	5.000000	5.000000	1.000000	3.000000	1.000000	6.000000	6.000000	4.000000	1.000000
sub-028	1.000000	1.000000	1.000000	7.000000	1.000000	1.000000	1.000000	7.000000	1.000000	7.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000
sub-029	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	6.000000	4.000000	5.000000	1.000000	1.000000
sub-030	2.000000	4.000000	2.000000	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	4.000000	1.000000	1.000000	6.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	6.000000	6.000000	6.000000	6.000000	6.000000
sub-031	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	4.000000	1.000000	4.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	4.000000	4.000000	6.000000	6.000000	1.000000
sub-032	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	1.000000	5.000000	1.000000	3.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	1.000000	1.000000	1.000000	2.000000	2.000000	2.000000	1.000000	7.000000	5.000000	6.000000	6.000000	2.000000	1.000000
sub-033	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	1.000000	1.000000	2.000000	1.000000	6.000000	1.000000	1.000000	1.000000	1.000000	2.000000	7.000000	6.000000	7.000000	5.000000	1.000000	5.000000
sub-034	3.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	7.000000	6.000000	7.000000	2.000000	5.000000	6.000000	3.000000	5.000000	7.000000	5.000000	6.000000	7.000000	6.000000	7.000000
sub-035	4.000000	5.000000	1.000000	3.000000	1.000000	4.000000	1.000000	3.000000	1.000000	1.000000	1.000000	4.000000	5.000000	1.000000	3.000000	1.000000	5.000000	1.000000	7.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	7.000000	7.000000	7.000000	7.000000	7.000000
sub-036	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	2.000000	2.000000	1.000000	5.000000	3.000000	3.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	1.000000	6.000000	1.000000	2.000000	3.000000
sub-037	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	1.000000	1.000000	1.000000	5.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	2.000000	6.000000	5.000000	1.000000	4.000000
sub-038	5.000000	5.000000	3.000000	5.000000	5.000000	1.000000	2.000000	6.000000	5.000000	7.000000	7.000000	5.000000	3.000000	3.000000	6.000000	3.000000	4.000000	7.000000	3.000000	6.000000	5.000000	1.000000	4.000000	6.000000	3.000000	6.000000	3.000000	4.000000	4.000000	7.000000
sub-039	1.000000	1.000000	1.000000	2.000000	1.000000	1.000000	4.000000	5.000000	4.000000	4.000000	4.000000	4.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	4.000000	1.000000	2.000000	1.000000	1.000000	2.000000	6.000000	7.000000	6.000000	7.000000	1.000000	7.000000
sub-040	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	5.000000	5.000000	4.000000	6.000000	2.000000	6.000000	5.000000	6.000000	6.000000	1.000000	5.000000	1.000000	3.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	2.000000	5.000000	6.000000	3.000000	7.000000
sub-041	2.000000	2.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	2.000000	1.000000	2.000000	7.000000	6.000000	7.000000	4.000000	6.000000	7.000000	5.000000	2.000000	6.000000	4.000000	4.000000	6.000000	7.000000	7.000000
sub-042	3.000000	4.000000	2.000000	1.000000	2.000000	4.000000	3.000000	5.000000	3.000000	5.000000	4.000000	2.000000	1.000000	6.000000	1.000000	1.000000	6.000000	3.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	7.000000	6.000000	6.000000	6.000000	3.000000	4.000000
